9,4,8,1,3,7,6,5,2
2,7,1,6,9,5,8,4,3
3,5,6,4,8,2,9,1,7
7,1,2,5,6,9,4,3,8
5,6,4,3,7,8,1,2,9
8,9,3,2,4,1,7,6,5
6,2,7,8,5,4,3,9,1
1,3,9,7,2,6,5,8,4
4,8,5,9,1,3,2,7,6
9,4,8,1,3,7,6,5,2
2,7,1,6,9,5,8,4,3
3,5,6,4,8,2,9,1,7
7,1,2,5,6,9,4,3,8
5,6,4,3,0,0,1,2,9
8,9,3,2,4,1,7,6,5
6,2,7,8,5,4,3,9,1
1,3,9,7,2,6,5,8,4
4,8,5,9,1,3,2,7,6
0,0,0,0,0,7,6,5,2
2,7,1,6,9,5,8,4,3
3,5,6,4,8,2,9,1,7
7,1,2,5,6,9,4,3,8
5,6,4,3,0,0,1,2,9
8,9,3,2,4,1,7,6,5
6,2,7,8,5,4,3,9,1
1,3,9,7,2,6,5,8,4
4,8,5,9,1,3,2,7,6
9,4,8,1,3,7,6,5,2
2,7,1,6,9,5,8,4,3
3,5,6,4,8,2,9,1,7
7,1,2,5,6,9,4,3,8
5,6,4,3,0,0,1,2,9
8,9,3,2,4,1,7,6,5
6,2,7,8,5,4,3,9,1
1,3,9,7,2,6,5,8,4
0,0,0,0,0,0,0,0,0
